user_id_game_id,user_id,game_id,winning_pick,timestamp_added
7_2022_01_BAL_NYJ,7,2022_01_BAL_NYJ,BAL,2022-01-01 01:01:01
7_2022_01_BUF_LA,7,2022_01_BUF_LA,BUF,2022-01-01 01:01:01
7_2022_01_CLE_CAR,7,2022_01_CLE_CAR,CLE,2022-01-01 01:01:01
7_2022_01_DEN_SEA,7,2022_01_DEN_SEA,DEN,2022-01-01 01:01:01
7_2022_01_GB_MIN,7,2022_01_GB_MIN,GB,2022-01-01 01:01:01
7_2022_01_IND_HOU,7,2022_01_IND_HOU,IND,2022-01-01 01:01:01
7_2022_01_JAX_WAS,7,2022_01_JAX_WAS,WAS,2022-01-01 01:01:01
7_2022_01_KC_ARI,7,2022_01_KC_ARI,KC,2022-01-01 01:01:01
7_2022_01_LV_LAC,7,2022_01_LV_LAC,LAC,2022-01-01 01:01:01
7_2022_01_NE_MIA,7,2022_01_NE_MIA,MIA,2022-01-01 01:01:01
7_2022_01_NO_ATL,7,2022_01_NO_ATL,NO,2022-01-01 01:01:01
7_2022_01_NYG_TEN,7,2022_01_NYG_TEN,TEN,2022-01-01 01:01:01
7_2022_01_PHI_DET,7,2022_01_PHI_DET,PHI,2022-01-01 01:01:01
7_2022_01_PIT_CIN,7,2022_01_PIT_CIN,CIN,2022-01-01 01:01:01
7_2022_01_SF_CHI,7,2022_01_SF_CHI,SF,2022-01-01 01:01:01
7_2022_01_TB_DAL,7,2022_01_TB_DAL,TB,2022-01-01 01:01:01
7_2022_02_ARI_LV,7,2022_02_ARI_LV,ARI,2022-01-01 01:01:01
7_2022_02_ATL_LA,7,2022_02_ATL_LA,LA,2022-01-01 01:01:01
7_2022_02_CAR_NYG,7,2022_02_CAR_NYG,CAR,2022-01-01 01:01:01
7_2022_02_CHI_GB,7,2022_02_CHI_GB,GB,2022-01-01 01:01:01
7_2022_02_CIN_DAL,7,2022_02_CIN_DAL,CIN,2022-01-01 01:01:01
7_2022_02_HOU_DEN,7,2022_02_HOU_DEN,DEN,2022-01-01 01:01:01
7_2022_02_IND_JAX,7,2022_02_IND_JAX,IND,2022-01-01 01:01:01
7_2022_02_LAC_KC,7,2022_02_LAC_KC,KC,2022-01-01 01:01:01
7_2022_02_MIA_BAL,7,2022_02_MIA_BAL,BAL,2022-01-01 01:01:01
7_2022_02_MIN_PHI,7,2022_02_MIN_PHI,MIN,2022-01-01 01:01:01
7_2022_02_NE_PIT,7,2022_02_NE_PIT,PIT,2022-01-01 01:01:01
7_2022_02_NYJ_CLE,7,2022_02_NYJ_CLE,CLE,2022-01-01 01:01:01
7_2022_02_SEA_SF,7,2022_02_SEA_SF,SEA,2022-01-01 01:01:01
7_2022_02_TB_NO,7,2022_02_TB_NO,TB,2022-01-01 01:01:01
7_2022_02_TEN_BUF,7,2022_02_TEN_BUF,BUF,2022-01-01 01:01:01
7_2022_02_WAS_DET,7,2022_02_WAS_DET,DET,2022-01-01 01:01:01
